"","Plot_ID","Species","sample_yr","BudScars","value","Visit"
"1","FRD1309010","PIPJ",2013,0,1,"initial"
"2","FRD1309010","PIPJ",2013,2,1,"initial"
"3","FRD1309010","PIPJ",2013,3,1,"initial"
"4","FRD1309010","PIPJ",2013,5,4,"initial"
"5","FRD1309010","PIPJ",2013,5,4,"initial"
"6","FRD1309010","PIPJ",2013,5,4,"initial"
"7","FRD1309010","PIPJ",2013,5,4,"initial"
"8","FRD1309010","CADE",2013,4,1,"initial"
"9","FRD1309010","PIPJ",2013,5,3,"initial"
"10","FRD1309010","PIPJ",2013,5,3,"initial"
"11","FRD1309010","PIPJ",2013,5,3,"initial"
"12","FRD120103","QUKE",2012,5,1,"initial"
"13","FRD120103","PIPJ",2012,5,1,"initial"
"14","FRD120103","QUCH",2012,0,1,"initial"
"15","FRD120103","QUCH",2012,8,1,"initial"
"16","NW_5","ABCO",2014,5,1,"initial"
"17","S_3A","PIPJ",2014,0,2,"initial"
"18","S_3A","PIPJ",2014,0,2,"initial"
"19","S_3A","ABCO",2014,5,1,"initial"
"20","S_3A","PIPJ",2014,3,2,"initial"
"21","S_3A","PIPJ",2014,3,2,"initial"
"22","S_3A","PIPJ",2014,6,1,"initial"
"23","SW_3","PIPJ",2014,0,1,"initial"
"24","W_5","PIPJ",2014,1,5,"initial"
"25","W_5","PIPJ",2014,1,5,"initial"
"26","W_5","PIPJ",2014,1,5,"initial"
"27","W_5","PIPJ",2014,1,5,"initial"
"28","W_5","PIPJ",2014,1,5,"initial"
"29","W_5","PIPJ",2014,2,1,"initial"
"30","W_5","PIPJ",2014,4,1,"initial"
"31","W_5","PIPJ",2014,5,1,"initial"
"32","W_7A","PIPJ",2014,5,2,"initial"
"33","W_7A","PIPJ",2014,5,2,"initial"
"34","PWR1400103","PIPJ",2014,8,1,"initial"
"35","PWR1400103","PIPJ",2014,6,1,"initial"
"36","PWR1400103","PIPJ",2014,8,1,"initial"
"37","PWR1400103","PIPJ",2014,8,1,"initial"
"38","PWR1400223","QUKE",2014,10,1,"initial"
"39","PWR1400246","PIPJ",2014,6,1,"initial"
"40","PWR1400187","CADE",2014,1,1,"initial"
"41","PWR1400008","CADE",2014,6,1,"initial"
"42","PWR1400246","PIPJ",2014,7,1,"initial"
"43","PWR1400103","PIPJ",2014,2,3,"initial"
"44","PWR1400103","PIPJ",2014,2,3,"initial"
