Plot_ID,Fire,Sample_year,Grams,Shrubs,Forbs,visit
GON002,GON,2008,NA,NA,NA,initial
GON006,GON,2008,NA,NA,NA,initial
GON007,GON,2008,NA,NA,NA,initial
GON019,GON,2008,NA,NA,NA,initial
GON020,GON,2008,NA,NA,NA,initial
GON022,GON,2008,NA,NA,NA,initial
GON026,GON,2008,NA,NA,NA,initial
GON027,GON,2008,NA,NA,NA,initial
GON040,GON,2008,NA,NA,NA,initial
GON041,GON,2008,NA,NA,NA,initial
GON043,GON,2008,NA,NA,NA,initial
SHR004,SHR,2009,NA,32,NA,initial
SHR009,SHR,2009,NA,21,NA,initial
SHR001,SHR,2009,NA,3,NA,initial
SHR008,SHR,2009,NA,32,NA,initial
SHR003,SHR,2009,NA,17,NA,initial
SHR002,SHR,2009,NA,25,NA,initial
SHR012,SHR,2009,NA,NA,NA,initial
SHR014,SHR,2009,NA,NA,NA,initial
SHR010,SHR,2009,NA,NA,NA,initial
SHR005,SHR,2009,NA,NA,NA,initial
NW_5,MNL,2014,2,70,4,initial
S_3A,MNL,2014,12,55,7,initial
SW_3,MNL,2014,20,12,NA,initial
W_5,MNL,2014,25,35,NA,initial
W_6,MNL,2014,6,70,3,initial
W_7A,MNL,2014,23,30,1,initial
S_3B,MNL,2014,1,NA,20,initial
PWR1400246,Power,2014,3,5,90,initial
PWR1400187,Power,2014,10,65,0.5,initial
PWR1400223,Power,2014,0.5,85,0.5,initial
PWR1400222,Power,2014,5,90,0.5,initial
PWR1400093,Power,2014,20,42,0.5,initial
PWR1400146,Power,2014,1,72,0.5,initial
PWR1400145,Power,2014,2,57,0.5,initial
PWR1400144,Power,2014,1,2.9,1,initial
PWR1400143,Power,2014,1,90,0.5,initial
PWR1400027,Power,2014,0.5,95,1,initial
PWR1400008,Power,2014,6,60,5,initial
PWR1400103,Power,2014,6,70,8,initial
PWR1400081,Power,2014,8,42,2,initial
PWR1400065,Power,2014,1,76,3,initial
PWR1400226,Power,2014,5,75,1,initial
FRD1309010,Freds,2014,4,40,5,initial
FRD130026,Freds,2014,2,60,4,initial
FRD120103,Freds,2014,5,14,2,initial
PWR1400223,Power,2022,3,80,2,revisit
PWR1400222,Power,2022,0.25,95,0.25,revisit
PWR1400093,Power,2022,1,15,0.25,revisit
PWR1400187,Power,2022,5,40,1,revisit
PWR1400065,Power,2022,3,90,0.25,revisit
PWR1400008,Power,2022,7,65,0.25,revisit
PWR1400246,Power,2022,65,25,60,revisit
FRD1309010,Freds,2022,1,25,0.25,revisit
FRD130026,Freds,2022,3,70,1,revisit
FRD120103,Freds,2022,0,7,1,revisit
W_6,MNL,2022,2,48,16,revisit
W_7A,MNL,2022,10,41,12,revisit
S_3B,MNL,2022,4,0,21,revisit
W_5,MNL,2022,2,61,1,revisit
NW_5,MNL,2022,10,83,7,revisit
S_3A,MNL,2022,42,41,13,revisit
SW_3,MNL,2022,24,47,0.25,revisit
PWR1400226,Power,2022,56,80,3,revisit
PWR1400081,Power,2022,2,28,0.25,revisit
PWR1400103,Power,2022,3,89,1,revisit
PWR1400143,Power,2022,1,69,3,revisit
PWR1400144,Power,2022,0,31,2,revisit
PWR1400145,Power,2022,0.25,50,3,revisit
PWR1400146,Power,2022,1,59,0,revisit
PWR1400027,Power,2022,0,86,0.25,revisit
GON002,GON,2018,0.5,75,0.5,revisit
GON006,GON,2018,0.5,17.5,1,revisit
GON007,GON,2018,2,80,1,revisit
GON019,GON,2019,NA,25,0.5,revisit
GON020,GON,2019,NA,60,0.5,revisit
GON022,GON,2018,NA,2,NA,revisit
GON026,GON,2018,0.35,17,12,revisit
GON027,GON,2019,NA,38,2,revisit
GON040,GON,2019,0.5,3,65,revisit
GON041,GON,2019,NA,30,NA,revisit
GON043,GON,2019,NA,44,0.5,revisit
SHR001,SHR,2019,0.5,40,1,revisit
SHR002,SHR,2019,NA,90,1,revisit
SHR003,SHR,2019,1,90,0.5,revisit
SHR004,SHR,2019,3,56,10,revisit
SHR005,SHR,2019,0.5,38,1,revisit
SHR008,SHR,2019,2,67,4,revisit
SHR009,SHR,2019,5,21,30,revisit
SHR010,SHR,2019,1,43,2,revisit
SHR012,SHR,2019,0.5,55.5,1,revisit
SHR014,SHR,2019,0.5,80,0.5,revisit
PNP1000008,PNP,2010,0,25,6,initial
PNT1000008,PNT,2010,0,30,0,initial
PNT1100077,PNT,2011,40,50,1,initial
AMR1300423,AMR,2013,20,55,5,initial
SIM062,SIM,2010,5,2,1,initial
SIM068,SIM,2010,5,10,15,initial
SIM091,SIM,2010,5,12,65,initial
SIM069,SIM,2010,0.5,8,0.5,initial
SIM006,SIM,2010,1,8,5,initial
SIM001,SIM,2010,0.5,8,1,initial
SIM003,SIM,2010,5,17,10,initial
SIM033,SIM,2010,75,0.5,2,initial
SIM032,SIM,2010,0.5,0.5,2,initial
SIM024,SIM,2010,15,2,35,initial
SIM038,SIM,2010,0.5,0.5,0.5,initial
SIM063,SIM,2010,7,2,5,initial
SIM025,SIM,2010,50,2,10,initial
SIM034,SIM,2010,70,5,2,initial
SIM015,SIM,2010,20,0.5,15,initial
SIM008,SIM,2010,12,33,3,initial
SIM031,SIM,2010,2,10,1,initial
SIM037,SIM,2010,0.5,10,0.5,initial
SIM017,SIM,2010,0.5,6,1,initial
SIM026,SIM,2010,0.5,10,1,initial
SIM030,SIM,2010,0,0.5,1,initial
SIM058,SIM,2010,0.5,20,1,initial
SIM027,SIM,2010,10,13,2,initial
SIM080,SIM,2010,5,45,30,initial
SIM018,SIM,2010,0,0,0,initial
SIM059,SIM,2010,5,50,0,initial
SIM048,SIM,2010,7,12,15,initial
SIM052,SIM,2010,3,4,20,initial
SIM053,SIM,2010,50,12,40,initial
PNT1100077,Pendola,2022,0.25,15,0,revisit
PNT1000008,Pendola,2022,0,30,0,revisit
PNP1000008,Pendola,2022,0,15,0.25,revisit
AMR1300423,American River Complex,2022,19,76,10,revisit
SIM017,SIM,2016,0.5,13,0.5,revisit
SIM015,SIM,2016,70,2,10,revisit
SIM008,SIM,2016,8,70,7,revisit
SIM053,SIM,2016,7.5,40,7.5,revisit
SIM052,SIM,2016,0.5,5,3,revisit
SIM048,SIM,2016,1,5,0.5,revisit
SIM001,SIM,2016,0.5,30,0.5,revisit
SIM003,SIM,2016,0,30,1,revisit
SIM062,SIM,2016,0.5,5,0.5,revisit
SIM063,SIM,2016,8,2,12,revisit
SIM068,SIM,2016,3,20,0.5,revisit
SIM030,SIM,2016,0.5,70,0.5,revisit
SIM031,SIM,2016,0,4,1,revisit
SIM032,SIM,2016,0.5,1,1,revisit
SIM037,SIM,2016,0,15,5,revisit
SIM038,SIM,2016,0,1,0,revisit
SIM034,SIM,2016,40,22,5,revisit
SIM033,SIM,2016,75,2,20,revisit
SIM025,SIM,2016,40,20,20,revisit
SIM026,SIM,2016,0.5,25,0.5,revisit
SIM024,SIM,2016,92,7,3,revisit
SIM006,SIM,2016,0.5,5,0.5,revisit
SIM069,SIM,2016,0,15,0,revisit
SIM027,SIM,2016,2,8,0.5,revisit
