ID,Fire,Plot_ID,PlotID_noyr,Year,Species,OMU,DBH,TotHeight,LYHeight,LYGrowth,BudScars,Sprouts,Tally,Comments,fire_year,seed_estab_yr,post_fire_estab,max_ht,value,Visit
1,Power,PWR1400223,PWR223,2022,PIPJ,O,NA,73.0,68.5,10.0,10,NA,1,NA,2004,2012,8,NA,NA,revisit
2,Power,PWR1400223,PWR223,2022,CADE,O,NA,39.5,NA,NA,NA,NA,1,NA,2004,NA,NA,NA,NA,revisit
3,Power,PWR1400223,PWR223,2022,QUKE,O,3.0,225.0,NA,NA,NA,NA,1,Seeded,2004,NA,NA,NA,NA,revisit
4,Power,PWR1400222,PWR222,2022,PIPJ,U,NA,64.0,57.0,8.0,9,NA,1,NA,2004,2013,9,NA,NA,revisit
5,Power,PWR1400093,PWR093,2022,PIPJ,U,NA,48.5,45.25,3.25,8,NA,1,Confident about 5 bud scars,2004,2014,10,NA,NA,revisit
6,Power,PWR1400093,PWR093,2022,QUKE,O,NA,139.0,NA,NA,NA,NA,1,Seeded,2004,NA,NA,NA,NA,revisit
7,Power,PWR1400187,PWR187,2022,PSME,U,NA,6.0,6.0,0.5,3,NA,1,NA,2004,2019,15,NA,NA,revisit
8,Power,PWR1400187,PWR187,2022,ABCO,U,NA,9.0,9.0,0.5,3,NA,1,NA,2004,2019,15,NA,NA,revisit
9,Power,PWR1400187,PWR187,2022,PIPJ,U,NA,8,7.5,0.5,4,NA,1,NA,2004,2018,14,NA,NA,revisit
10,Power,PWR1400187,PWR187,2022,PIPJ,U,NA,7.5,6.5,1.0,4,NA,1,NA,2004,2018,14,NA,NA,revisit
11,Power,PWR1400187,PWR187,2022,QUKE,M,2.0,225.0,NA,NA,NA,6,1,NA,2004,NA,NA,NA,NA,revisit
12,Power,PWR1400187,PWR187,2022,QUCH,O,6.0,330.0,NA,NA,NA,12,1,NA,2004,NA,NA,NA,NA,revisit
13,Power,PWR1400065,PWR065,2022,PIPJ,U,NA,114.0,110.0,15.5,10,NA,1,Bent trunk growing from under downed log.,2004,2012,8,NA,NA,revisit
14,Power,PWR1400065,PWR065,2022,PIPJ,U,NA,35.5,35.0,3.0,7,NA,1,In high density CECO Trunk bent from growing out from under log,2004,2015,11,NA,NA,revisit
15,Power,PWR1400065,PWR065,2022,PIPJ,U,NA,18.5,15.0,2.5,6,NA,1,NA,2004,2016,12,NA,NA,revisit
16,Power,PWR1400065,PWR065,2022,PIPJ,U,NA,11.5,10.0,2.0,5,NA,1,NA,2004,2017,13,NA,NA,revisit
17,Power,PWR1400065,PWR065,2022,PIPJ,U,NA,115.0,113.0,8.0,11,NA,1,NA,2004,2011,7,NA,NA,revisit
18,Power,PWR1400065,PWR065,2022,PIPJ,U,NA,73.5,72.0,6.0,12,NA,1,NA,2004,2010,6,NA,NA,revisit
19,Power,PWR1400065,PWR065,2022,PIPJ,U,NA,48.5,47.0,3.5,11,NA,1,NA,2004,2011,7,NA,NA,revisit
20,Power,PWR1400008,PWR008,2022,CADE,U,NA,19.5,NA,NA,NA,NA,1,NA,2004,NA,NA,NA,NA,revisit
21,Power,PWR1400008,PWR008,2022,CADE,U,NA,30.0,NA,NA,NA,NA,1,NA,2004,NA,NA,NA,NA,revisit
22,Power,PWR1400008,PWR008,2022,CADE,U,NA,20.5,NA,NA,NA,NA,1,NA,2004,NA,NA,NA,NA,revisit
23,Power,PWR1400008,PWR008,2022,CADE,U,NA,29.5,NA,NA,NA,NA,1,NA,2004,NA,NA,NA,NA,revisit
